Place;ProductId;ProductName;UmId;UmName;Month;Year;Price
National Average;52;Rice - Retail;5;KG;1;2021;119.249
National Average;52;Rice - Retail;5;KG;2;2021;128.107
National Average;52;Rice - Retail;5;KG;3;2021;128.107
National Average;52;Rice - Retail;5;KG;4;2021;128.719
National Average;52;Rice - Retail;5;KG;5;2021;129.061
National Average;58;Wheat flour - Retail;5;KG;1;2021;45.195
National Average;58;Wheat flour - Retail;5;KG;2;2021;51.774
National Average;58;Wheat flour - Retail;5;KG;3;2021;51.774
National Average;58;Wheat flour - Retail;5;KG;4;2021;51.399
National Average;58;Wheat flour - Retail;5;KG;5;2021;52.429
National Average;66;Beans (white) - Retail;5;KG;1;2021;158.964
National Average;66;Beans (white) - Retail;5;KG;2;2021;163.851
National Average;66;Beans (white) - Retail;5;KG;3;2021;163.851
National Average;66;Beans (white) - Retail;5;KG;4;2021;155.613
National Average;66;Beans (white) - Retail;5;KG;5;2021;15.889
National Average;83;Potatoes - Retail;5;KG;1;2021;21.491
National Average;83;Potatoes - Retail;5;KG;2;2021;21.408
National Average;83;Potatoes - Retail;5;KG;3;2021;21.408
National Average;83;Potatoes - Retail;5;KG;4;2021;18.967
National Average;83;Potatoes - Retail;5;KG;5;2021;26.852
National Average;92;Eggs - Retail;33;Unit;1;2021;0.8936
National Average;92;Eggs - Retail;33;Unit;2;2021;0.82
National Average;92;Eggs - Retail;33;Unit;3;2021;0.82
National Average;92;Eggs - Retail;33;Unit;4;2021;0.7725
National Average;92;Eggs - Retail;33;Unit;5;2021;0.7783
National Average;94;Meat (chicken) - Retail;5;KG;1;2021;146.031
National Average;94;Meat (chicken) - Retail;5;KG;2;2021;160.121
National Average;94;Meat (chicken) - Retail;5;KG;3;2021;160.121
National Average;94;Meat (chicken) - Retail;5;KG;4;2021;181.334
National Average;94;Meat (chicken) - Retail;5;KG;5;2021;18.44
National Average;97;Sugar - Retail;5;KG;1;2021;51.125
National Average;97;Sugar - Retail;5;KG;2;2021;56.432
National Average;97;Sugar - Retail;5;KG;3;2021;56.432
National Average;97;Sugar - Retail;5;KG;4;2021;58.313
National Average;97;Sugar - Retail;5;KG;5;2021;58.193
National Average;105;Garlic - Retail;5;KG;1;2021;343.309
National Average;105;Garlic - Retail;5;KG;2;2021;360.612
National Average;105;Garlic - Retail;5;KG;3;2021;360.612
National Average;105;Garlic - Retail;5;KG;4;2021;337.633
National Average;105;Garlic - Retail;5;KG;5;2021;266.066
National Average;108;Lentils - Retail;5;KG;1;2021;113.936
National Average;108;Lentils - Retail;5;KG;2;2021;114.731
National Average;108;Lentils - Retail;5;KG;3;2021;114.731
National Average;108;Lentils - Retail;5;KG;4;2021;114.478
National Average;108;Lentils - Retail;5;KG;5;2021;117.082
National Average;112;Pasta - Retail;5;KG;1;2021;6.081
National Average;112;Pasta - Retail;5;KG;2;2021;57.931
National Average;112;Pasta - Retail;5;KG;3;2021;57.931
National Average;112;Pasta - Retail;5;KG;4;2021;57.852
National Average;112;Pasta - Retail;5;KG;5;2021;57.975
National Average;114;Tomatoes - Retail;5;KG;1;2021;51.874
National Average;114;Tomatoes - Retail;5;KG;2;2021;53.812
National Average;114;Tomatoes - Retail;5;KG;3;2021;53.812
National Average;114;Tomatoes - Retail;5;KG;4;2021;72.058
National Average;114;Tomatoes - Retail;5;KG;5;2021;52.288
National Average;119;Groundnuts (shelled) - Retail;5;KG;1;2021;37.312
National Average;119;Groundnuts (shelled) - Retail;5;KG;2;2021;385.735
National Average;119;Groundnuts (shelled) - Retail;5;KG;3;2021;385.735
National Average;119;Groundnuts (shelled) - Retail;5;KG;4;2021;387.849
National Average;119;Groundnuts (shelled) - Retail;5;KG;5;2021;385.668
National Average;124;Bread (common) - Retail;5;KG;1;2021;7.176
National Average;124;Bread (common) - Retail;5;KG;2;2021;72.651
National Average;124;Bread (common) - Retail;5;KG;3;2021;72.651
National Average;124;Bread (common) - Retail;5;KG;4;2021;73.908
National Average;124;Bread (common) - Retail;5;KG;5;2021;74.895
National Average;151;Coffee - Retail;5;KG;1;2021;56.897
National Average;151;Coffee - Retail;5;KG;2;2021;598.567
National Average;151;Coffee - Retail;5;KG;3;2021;598.567
National Average;151;Coffee - Retail;5;KG;4;2021;572.757
National Average;151;Coffee - Retail;5;KG;5;2021;577.243
National Average;173;Onions - Retail;5;KG;1;2021;19.033
National Average;173;Onions - Retail;5;KG;2;2021;21.066
National Average;173;Onions - Retail;5;KG;3;2021;21.066
National Average;173;Onions - Retail;5;KG;4;2021;18.332
National Average;173;Onions - Retail;5;KG;5;2021;18.788
National Average;181;Cabbage - Retail;5;KG;1;2021;23.066
National Average;181;Cabbage - Retail;5;KG;2;2021;23.711
National Average;181;Cabbage - Retail;5;KG;3;2021;23.711
National Average;183;Meat (mutton) - Retail;5;KG;1;2021;654.577
National Average;183;Meat (mutton) - Retail;5;KG;2;2021;656.722
National Average;183;Meat (mutton) - Retail;5;KG;3;2021;656.722
National Average;183;Meat (mutton) - Retail;5;KG;4;2021;684.824
National Average;183;Meat (mutton) - Retail;5;KG;5;2021;702.167
National Average;184;Oil (sunflower) - Retail;15;L;1;2021;157.688
National Average;184;Oil (sunflower) - Retail;15;L;2;2021;169.673
National Average;184;Oil (sunflower) - Retail;15;L;3;2021;169.673
National Average;184;Oil (sunflower) - Retail;15;L;4;2021;17.934
National Average;184;Oil (sunflower) - Retail;15;L;5;2021;180.374
National Average;185;Salt - Retail;5;KG;1;2021;27.899
National Average;185;Salt - Retail;5;KG;2;2021;29.907
National Average;185;Salt - Retail;5;KG;3;2021;29.907
National Average;185;Salt - Retail;5;KG;4;2021;29.573
National Average;185;Salt - Retail;5;KG;5;2021;30.895
National Average;209;Coffee (instant) - Retail;33;Unit;1;2021;493.837
National Average;209;Coffee (instant) - Retail;33;Unit;2;2021;464.624
National Average;209;Coffee (instant) - Retail;33;Unit;3;2021;464.624
National Average;209;Coffee (instant) - Retail;33;Unit;4;2021;464.685
National Average;209;Coffee (instant) - Retail;33;Unit;5;2021;47.032
National Average;231;Cauliflower - Retail;5;KG;1;2021;29.012
National Average;231;Cauliflower - Retail;5;KG;2;2021;31.849
National Average;231;Cauliflower - Retail;5;KG;3;2021;31.849
National Average;239;Oil (olive) - Retail;15;L;1;2021;358.973
National Average;239;Oil (olive) - Retail;15;L;2;2021;382.612
National Average;239;Oil (olive) - Retail;15;L;3;2021;382.612
National Average;239;Oil (olive) - Retail;15;L;4;2021;398.793
National Average;239;Oil (olive) - Retail;15;L;5;2021;397.327
National Average;244;Chickpeas - Retail;5;KG;1;2021;100.218
National Average;244;Chickpeas - Retail;5;KG;2;2021;99.957
National Average;244;Chickpeas - Retail;5;KG;3;2021;99.957
National Average;244;Chickpeas - Retail;5;KG;4;2021;99.012
National Average;244;Chickpeas - Retail;5;KG;5;2021;99.515
National Average;254;Bananas - Retail;5;KG;1;2021;124.991
National Average;254;Bananas - Retail;5;KG;2;2021;127.282
National Average;254;Bananas - Retail;5;KG;3;2021;127.282
National Average;254;Bananas - Retail;5;KG;4;2021;143.758
National Average;254;Bananas - Retail;5;KG;5;2021;153.063
National Average;258;Bulgur - Retail;5;KG;1;2021;59.702
National Average;258;Bulgur - Retail;5;KG;2;2021;58.897
National Average;258;Bulgur - Retail;5;KG;3;2021;58.897
National Average;258;Bulgur - Retail;5;KG;4;2021;58.578
National Average;258;Bulgur - Retail;5;KG;5;2021;58.707
National Average;281;Tea - Retail;5;KG;1;2021;32.964
National Average;281;Tea - Retail;5;KG;2;2021;343.147
National Average;281;Tea - Retail;5;KG;3;2021;343.147
National Average;281;Tea - Retail;5;KG;4;2021;350.706
National Average;281;Tea - Retail;5;KG;5;2021;357.507
National Average;285;Fuel (petrol-gasoline) - Retail;15;L;1;2021;73.154
National Average;285;Fuel (petrol-gasoline) - Retail;15;L;2;2021;73.313
National Average;285;Fuel (petrol-gasoline) - Retail;15;L;3;2021;72.634
National Average;285;Fuel (petrol-gasoline) - Retail;15;L;4;2021;7.161
National Average;285;Fuel (petrol-gasoline) - Retail;15;L;5;2021;74.124
National Average;317;Tomatoes (paste) - Retail;5;KG;1;2021;98.028
National Average;317;Tomatoes (paste) - Retail;5;KG;2;2021;106.051
National Average;317;Tomatoes (paste) - Retail;5;KG;3;2021;106.051
National Average;317;Tomatoes (paste) - Retail;5;KG;4;2021;10.112
National Average;317;Tomatoes (paste) - Retail;5;KG;5;2021;104.355
National Average;341;Fuel (gas) - Retail;90;12 KG;1;2021;72.555
National Average;341;Fuel (gas) - Retail;90;12 KG;2;2021;73.313
National Average;341;Fuel (gas) - Retail;90;12 KG;3;2021;73.313
National Average;345;Apples - Retail;5;KG;1;2021;50.288
National Average;345;Apples - Retail;5;KG;2;2021;52.899
National Average;345;Apples - Retail;5;KG;3;2021;52.899
National Average;345;Apples - Retail;5;KG;4;2021;5.377
National Average;345;Apples - Retail;5;KG;5;2021;57.567
National Average;360;Oranges - Retail;5;KG;1;2021;55.965
National Average;360;Oranges - Retail;5;KG;2;2021;57.366
National Average;360;Oranges - Retail;5;KG;3;2021;57.366
National Average;360;Oranges - Retail;5;KG;4;2021;63.624
National Average;360;Oranges - Retail;5;KG;5;2021;66.013
National Average;364;Yogurt - Retail;5;KG;1;2021;74.779
National Average;364;Yogurt - Retail;5;KG;2;2021;76.487
National Average;364;Yogurt - Retail;5;KG;3;2021;76.487
National Average;364;Yogurt - Retail;5;KG;4;2021;77.774
National Average;364;Yogurt - Retail;5;KG;5;2021;76.943
National Average;388;Cucumbers - Retail;5;KG;1;2021;59.703
National Average;388;Cucumbers - Retail;5;KG;2;2021;70.355
National Average;388;Cucumbers - Retail;5;KG;3;2021;70.355
National Average;388;Cucumbers - Retail;5;KG;4;2021;53.871
National Average;388;Cucumbers - Retail;5;KG;5;2021;40.286
National Average;401;Fish (fresh) - Retail;5;KG;1;2021;400.028
National Average;401;Fish (fresh) - Retail;5;KG;2;2021;397.752
National Average;401;Fish (fresh) - Retail;5;KG;3;2021;397.752
National Average;401;Fish (fresh) - Retail;5;KG;4;2021;429.076
National Average;401;Fish (fresh) - Retail;5;KG;5;2021;466.553
National Average;404;Spinach - Retail;5;KG;1;2021;39.547
National Average;404;Spinach - Retail;5;KG;2;2021;43.352
National Average;404;Spinach - Retail;5;KG;3;2021;43.352
National Average;414;Cheese - Retail;5;KG;1;2021;277.129
National Average;414;Cheese - Retail;5;KG;2;2021;291.233
National Average;414;Cheese - Retail;5;KG;3;2021;291.233
National Average;414;Cheese - Retail;5;KG;4;2021;291.422
National Average;414;Cheese - Retail;5;KG;5;2021;29.263
National Average;433;Meat (veal) - Retail;5;KG;1;2021;50.858
National Average;433;Meat (veal) - Retail;5;KG;2;2021;54.538
National Average;433;Meat (veal) - Retail;5;KG;3;2021;54.538
National Average;433;Meat (veal) - Retail;5;KG;4;2021;567.962
National Average;433;Meat (veal) - Retail;5;KG;5;2021;594.314
National Average;434;Eggplants - Retail;5;KG;1;2021;63.515
National Average;434;Eggplants - Retail;5;KG;2;2021;76.523
National Average;434;Eggplants - Retail;5;KG;3;2021;76.523
National Average;434;Eggplants - Retail;5;KG;4;2021;5.777
National Average;434;Eggplants - Retail;5;KG;5;2021;52.731
National Average;442;Milk (powder, infant formula) - Retail;5;KG;1;2021;1.527.002
National Average;442;Milk (powder, infant formula) - Retail;5;KG;2;2021;1.439.598
National Average;442;Milk (powder, infant formula) - Retail;5;KG;3;2021;1.439.598
National Average;442;Milk (powder, infant formula) - Retail;5;KG;4;2021;1.434.018
National Average;442;Milk (powder, infant formula) - Retail;5;KG;5;2021;1.396.304
National Average;450;Zucchini - Retail;5;KG;1;2021;49.702
National Average;450;Zucchini - Retail;5;KG;2;2021;68.228
National Average;450;Zucchini - Retail;5;KG;3;2021;68.228
National Average;450;Zucchini - Retail;5;KG;4;2021;5.649
National Average;450;Zucchini - Retail;5;KG;5;2021;50.788
National Average;463;Milk (pasteurized) - Retail;15;L;1;2021;60.106
National Average;463;Milk (pasteurized) - Retail;15;L;2;2021;62.321
National Average;463;Milk (pasteurized) - Retail;15;L;3;2021;62.321
National Average;463;Milk (pasteurized) - Retail;15;L;4;2021;62.312
National Average;463;Milk (pasteurized) - Retail;15;L;5;2021;61.803
National Average;491;Electricity - Retail;101;kWh;1;2021;0.7975
National Average;491;Electricity - Retail;101;kWh;2;2021;0.7975
National Average;491;Electricity - Retail;101;kWh;3;2021;0.7975
National Average;491;Electricity - Retail;101;kWh;4;2021;0.7975
National Average;491;Electricity - Retail;101;kWh;5;2021;0.7975
National Average;492;Tea (herbal) - Retail;102;Package;1;2021;62.905
National Average;492;Tea (herbal) - Retail;102;Package;2;2021;68.157
National Average;492;Tea (herbal) - Retail;102;Package;3;2021;68.157
National Average;492;Tea (herbal) - Retail;102;Package;4;2021;69.976
National Average;492;Tea (herbal) - Retail;102;Package;5;2021;71.729
National Average;493;Water - Retail;100;Cubic meter;1;2021;52.435
National Average;493;Water - Retail;100;Cubic meter;2;2021;56.639
National Average;493;Water - Retail;100;Cubic meter;3;2021;56.639
National Average;493;Water - Retail;100;Cubic meter;4;2021;5.694
National Average;493;Water - Retail;100;Cubic meter;5;2021;5.713
National Average;502;Cocoa (powder) - Retail;5;KG;1;2021;69.585
National Average;502;Cocoa (powder) - Retail;5;KG;2;2021;69.749
National Average;502;Cocoa (powder) - Retail;5;KG;3;2021;69.749
National Average;502;Cocoa (powder) - Retail;5;KG;4;2021;742.737
National Average;502;Cocoa (powder) - Retail;5;KG;5;2021;753.427
Ankara;52;Rice - Retail;5;KG;1;2021;119.249
Ankara;52;Rice - Retail;5;KG;2;2021;119.101
Ankara;52;Rice - Retail;5;KG;3;2021;118.995
Ankara;52;Rice - Retail;5;KG;4;2021;118.283
Ankara;52;Rice - Retail;5;KG;5;2021;118.028
Ankara;58;Wheat flour - Retail;5;KG;1;2021;45.195
Ankara;58;Wheat flour - Retail;5;KG;2;2021;4.477
Ankara;58;Wheat flour - Retail;5;KG;3;2021;44.795
Ankara;58;Wheat flour - Retail;5;KG;4;2021;44.946
Ankara;58;Wheat flour - Retail;5;KG;5;2021;44.922
Ankara;66;Beans (white) - Retail;5;KG;1;2021;158.964
Ankara;66;Beans (white) - Retail;5;KG;2;2021;155.255
Ankara;66;Beans (white) - Retail;5;KG;3;2021;149.568
Ankara;66;Beans (white) - Retail;5;KG;4;2021;135.837
Ankara;66;Beans (white) - Retail;5;KG;5;2021;144.069
Ankara;83;Potatoes - Retail;5;KG;1;2021;21.491
Ankara;83;Potatoes - Retail;5;KG;2;2021;19.575
Ankara;83;Potatoes - Retail;5;KG;3;2021;17.447
Ankara;83;Potatoes - Retail;5;KG;4;2021;18.384
Ankara;83;Potatoes - Retail;5;KG;5;2021;26.038
Ankara;92;Eggs - Retail;33;Unit;1;2021;0.8936
Ankara;92;Eggs - Retail;33;Unit;2;2021;0.8128
Ankara;92;Eggs - Retail;33;Unit;3;2021;0.7944
Ankara;92;Eggs - Retail;33;Unit;4;2021;0.76
Ankara;92;Eggs - Retail;33;Unit;5;2021;0.7773
Ankara;94;Meat (chicken) - Retail;5;KG;1;2021;146.031
Ankara;94;Meat (chicken) - Retail;5;KG;2;2021;155.786
Ankara;94;Meat (chicken) - Retail;5;KG;3;2021;169.859
Ankara;94;Meat (chicken) - Retail;5;KG;4;2021;174.564
Ankara;94;Meat (chicken) - Retail;5;KG;5;2021;178.382
Ankara;97;Sugar - Retail;5;KG;1;2021;51.125
Ankara;97;Sugar - Retail;5;KG;2;2021;5.295
Ankara;97;Sugar - Retail;5;KG;3;2021;55.079
Ankara;97;Sugar - Retail;5;KG;4;2021;54.873
Ankara;97;Sugar - Retail;5;KG;5;2021;54.599
Ankara;105;Garlic - Retail;5;KG;1;2021;343.309
Ankara;105;Garlic - Retail;5;KG;2;2021;339.336
Ankara;105;Garlic - Retail;5;KG;3;2021;317.426
Ankara;105;Garlic - Retail;5;KG;4;2021;305.033
Ankara;105;Garlic - Retail;5;KG;5;2021;22.822
Ankara;108;Lentils - Retail;5;KG;1;2021;113.936
Ankara;108;Lentils - Retail;5;KG;2;2021;109.553
Ankara;108;Lentils - Retail;5;KG;3;2021;109.177
Ankara;108;Lentils - Retail;5;KG;4;2021;108.211
Ankara;108;Lentils - Retail;5;KG;5;2021;112.176
Ankara;112;Pasta - Retail;5;KG;1;2021;6.081
Ankara;112;Pasta - Retail;5;KG;2;2021;61.068
